title,show_id,type,release_year,primary_country,genres_str,rating,date_added,date_added_year,date_added_month,director_primary,cast_primary,metadata
Juman,s1579,Tv Show,2019,Kuwait,International TV Shows|Romantic TV Shows|TV Dramas,TV-PG,2020-12-08,2020,12,,Nour Al Ghandour,"Juman | Despite their estranged families, Juman and Hisham fall in love and get married but their different outlooks on life soon threaten their relationship. | International TV Shows|Romantic TV Shows|TV Dramas | Nour Al Ghandour | Kuwait"
Mr. Iglesias,s1580,Tv Show,2020,United States,TV Comedies|Teen TV Shows,TV-14,2020-12-08,2020,12,,Gabriel Iglesias,Mr. Iglesias | Hilarious high school teacher Gabriel Iglesias tries to make a difference in the lives of some smart but underperforming students at his alma mater. | TV Comedies|Teen TV Shows | Gabriel Iglesias | United States
Spirit Riding Free: Ride Along Adventure,s1581,Movie,2020,United States,Children & Family Movies,TV-Y7,2020-12-08,2020,12,Beth Sleven,Amber Frank,Spirit Riding Free: Ride Along Adventure | Join Lucky and her friends on an interactive mission to save Maricela���s beloved mare from greedy horse thieves who've taken her captive with a wild herd. | Children & Family Movies | Beth Sleven | Amber Frank | United States
Super Monsters: Santa���s Super Monster Helpers,s1582,Movie,2020,Unknown,Children & Family Movies,TV-Y,2020-12-08,2020,12,Steve Ball,Elyse Maloway,"Super Monsters: Santa���s Super Monster Helpers | When Santa needs serious help prepping all of his presents, the Super Monsters lend a hand ��� and some monster magic ��� to get every gift out on time! | Children & Family Movies | Steve Ball | Elyse Maloway | Unknown"
Triple 9,s1583,Movie,2016,United States,Dramas|Thrillers,R,2020-12-08,2020,12,John Hillcoat,Casey Affleck,Triple 9 | A group of dirty Atlanta cops blackmailed by the Russian mob plan a seemingly impossible heist that sets off an explosive chain reaction of violence. | Dramas|Thrillers | John Hillcoat | Casey Affleck | United States
100 Days My Prince,s1584,Tv Show,2018,South Korea,International TV Shows|Romantic TV Shows|TV Dramas,TV-14,2020-12-07,2020,12,,Doh Kyung-soo,"100 Days My Prince | Upon losing his memory, a crown prince encounters a commoner���s life and experiences unforgettable love as the husband to Joseon���s oldest bachelorette. | International TV Shows|Romantic TV Shows|TV Dramas | Doh Kyung-soo | South Korea"
Ava,s1585,Movie,2020,United States,Action & Adventure|Dramas,R,2020-12-07,2020,12,Tate Taylor,Jessica Chastain,Ava | An elite assassin wrestling with doubts about her work scrambles to protect herself ��� and her estranged family ��� after a hit goes dangerously wrong. | Action & Adventure|Dramas | Tate Taylor | Jessica Chastain | United States
Manhunt: Deadly Games,s1586,Tv Show,2020,Unknown,Crime TV Shows|TV Dramas|TV Mysteries,TV-14,2020-12-07,2020,12,,Cameron Britton,"Manhunt: Deadly Games | Despite his heroics, security guard Richard Jewell becomes a suspect in the FBI investigation of a foiled terrorist attack at the 1996 Olympics. | Crime TV Shows|TV Dramas|TV Mysteries | Cameron Britton | Unknown"
Room 2806: The Accusation,s1587,Tv Show,2020,France,Crime TV Shows|Docuseries|International TV Shows,TV-MA,2020-12-07,2020,12,Jalil Lespert,,Room 2806: The Accusation | This docuseries follows the 2011 sexual assault case involving French politician Dominique Strauss-Kahn at the height of his career. | Crime TV Shows|Docuseries|International TV Shows | Jalil Lespert | France
Detention,s1588,Tv Show,2020,Taiwan,International TV Shows|TV Dramas|TV Horror,TV-MA,2020-12-05,2020,12,Su I-Hsuan,Li Lingwei,Detention | A tormented student uncovers unsettling secrets at her remote high school as betrayal and a paranormal encounter upend her life. | International TV Shows|TV Dramas|TV Horror | Su I-Hsuan | Li Lingwei | Taiwan
Mighty Express: A Mighty Christmas,s1589,Movie,2020,Canada,Children & Family Movies,TV-Y,2020-12-05,2020,12,Clint Butler,Jay Hatton,Mighty Express: A Mighty Christmas | The Mighty Express welcomes a new train and speeds into a snowstorm to deliver Santa���s presents and save Christmas for all the kids in Tracksville. | Children & Family Movies | Clint Butler | Jay Hatton | Canada
Bhaag Beanie Bhaag,s1590,Tv Show,2020,India,International TV Shows|Romantic TV Shows|TV Comedies,TV-MA,2020-12-04,2020,12,,Swara Bhasker,"Bhaag Beanie Bhaag | Facing disapproving parents, a knotty love life and her own inner critic, an aspiring comic ditches her cushy but unsatisfying life to pursue stand-up. | International TV Shows|Romantic TV Shows|TV Comedies | Swara Bhasker | India"
Big Mouth,s1591,Tv Show,2020,United States,TV Comedies,TV-MA,2020-12-04,2020,12,,Nick Kroll,Big Mouth | Teenage friends find their lives upended by the wonders and horrors of puberty in this edgy comedy from real-life pals Nick Kroll and Andrew Goldberg. | TV Comedies | Nick Kroll | United States
Captain Underpants Mega Blissmas,s1592,Movie,2020,United States,Children & Family Movies|Comedies,TV-Y7,2020-12-04,2020,12,Erik Kling,Nat Faxon,Captain Underpants Mega Blissmas | Christmas gets weird ��� really weird ��� after George and Harold go back in time to change up a few of their beloved holiday's traditions. | Children & Family Movies|Comedies | Erik Kling | Nat Faxon | United States
Christmas Crossfire,s1593,Movie,2020,Germany,Comedies|International Movies|Thrillers,TV-MA,2020-12-04,2020,12,Detlev Buck,Kostja Ullmann,"Christmas Crossfire | A man foils an attempted murder, then flees the crew of would-be killers along with their intended target as a woman he's just met tries to find him. | Comedies|International Movies|Thrillers | Detlev Buck | Kostja Ullmann | Germany"
Kings of Jo'Burg,s1594,Tv Show,2020,South Africa,Crime TV Shows|International TV Shows|TV Dramas,TV-MA,2020-12-04,2020,12,,Shona Ferguson,"Kings of Jo'Burg | The Masire brothers rule Johannesburg's criminal underworld, but a supernatural family curse and a tangled web of betrayal threaten to destroy them. | Crime TV Shows|International TV Shows|TV Dramas | Shona Ferguson | South Africa"
Leyla Everlasting,s1595,Movie,2020,Turkey,Comedies|International Movies,TV-MA,2020-12-04,2020,12,,Demet Akba��,"Leyla Everlasting | A resilient housewife, her husband and their marriage therapist become mired in a toxic love triangle and a plot to obtain an antique manuscript. | Comedies|International Movies | Demet Akba�� | Turkey"
MANK,s1596,Movie,2020,United States,Dramas|Independent Movies,R,2020-12-04,2020,12,David Fincher,Gary Oldman,MANK | 1930s Hollywood is reevaluated through the eyes of scathing wit and alcoholic screenwriter Herman J. Mankiewicz as he races to finish ���Citizen Kane.��� | Dramas|Independent Movies | David Fincher | Gary Oldman | United States
The Great British Baking Show: Holidays,s1597,Tv Show,2020,Unknown,British TV Shows|Reality TV,TV-MA,2020-12-04,2020,12,,Paul Hollywood,"The Great British Baking Show: Holidays | Deck the halls with sugar, butter and chocolate as competitors from past seasons bake sweet Yuletide treats for judges Paul Hollywood and Prue Leith. | British TV Shows|Reality TV | Paul Hollywood | Unknown"
You Are My Home,s1598,Movie,2020,United States,Children & Family Movies|Dramas,TV-PG,2020-12-04,2020,12,Amanda Raymond,Alyssa Milano,"You Are My Home | After becoming separated from her family, a young girl finds herself in the care of a heartbroken woman who faces her own struggles. | Children & Family Movies|Dramas | Amanda Raymond | Alyssa Milano | United States"
Between Maybes,s1599,Movie,2019,Philippines,Dramas|International Movies|Romantic Movies,TV-14,2020-12-03,2020,12,Jason Paul Laxamana,Gerald Anderson,"Between Maybes | A former actress takes a trip to Japan, where she meets a young man who provides an escape from reality and makes her consider a different way of life. | Dramas|International Movies|Romantic Movies | Jason Paul Laxamana | Gerald Anderson | Philippines"
Break,s1600,Movie,2018,France,Comedies|Dramas|International Movies,TV-MA,2020-12-03,2020,12,Marc Fouchard,Sabrina Ouazani,"Break | After a serious accident, Lucie tries to rediscover herself as a dancer and meets Vincent, a talented b-boy battling his own insecurities. | Comedies|Dramas|International Movies | Marc Fouchard | Sabrina Ouazani | France"
Chico Bon Bon and the Very Berry Holiday,s1601,Movie,2020,Unknown,Children & Family Movies,TV-Y,2020-12-03,2020,12,Darragh O'Connell,Robbie Daymond,"Chico Bon Bon and the Very Berry Holiday | The Fix-It Force makes a plan to hit every home as fast as they can, delivering Blunderberry Cakes before the town awakes to avoid a holiday disaster. | Children & Family Movies | Darragh O'Connell | Robbie Daymond | Unknown"
Just Another Christmas,s1602,Movie,2020,Brazil,Comedies|International Movies,TV-MA,2020-12-03,2020,12,Roberto Santucci,Leandro Hassum,"Just Another Christmas | Stuck in a time loop where it's forever Christmas, a family man who hates the holiday starts to learn valuable lessons about what's important in life. | Comedies|International Movies | Roberto Santucci | Leandro Hassum | Brazil"
Must Be... Love,s1603,Movie,2013,Philippines,Comedies|Dramas|International Movies,TV-14,2020-12-03,2020,12,Dado C. Lumibao,Kathryn Bernardo,"Must Be... Love | When a teenage girl develops romantic feelings for her childhood best friend, she finds herself changing her ways to win him over. | Comedies|Dramas|International Movies | Dado C. Lumibao | Kathryn Bernardo | Philippines"
Alien Worlds,s1604,Tv Show,2020,United Kingdom,British TV Shows|Docuseries|International TV Shows,TV-PG,2020-12-02,2020,12,,,"Alien Worlds | Applying the laws of life on Earth to the rest of the galaxy, this series blends science fact and fiction to imagine alien life on other planets. | British TV Shows|Docuseries|International TV Shows | United Kingdom"
Ari Eldj��rn: Pardon My Icelandic,s1605,Movie,2020,Iceland,Stand-Up Comedy,TV-MA,2020-12-02,2020,12,August Jakobsson,Ari Eldj��rn,"Ari Eldj��rn: Pardon My Icelandic | In this English-language special, Icelandic comedian Ari Eldj��rn pokes fun at Nordic rivalries, Hollywood's take on Thor, the whims of toddlers and more. | Stand-Up Comedy | August Jakobsson | Ari Eldj��rn | Iceland"
Check The Store Next Door: The Next Chapter,s1606,Tv Show,2020,Indonesia,International TV Shows|TV Comedies|TV Dramas,TV-14,2020-12-02,2020,12,,Ernest Prakasa,"Check The Store Next Door: The Next Chapter | When a former shop owner grows bored of retirement, he buys a fish pond and manages the new hijinks in his life with a staff of quirky employees. | International TV Shows|TV Comedies|TV Dramas | Ernest Prakasa | Indonesia"
Fierce,s1607,Movie,2020,Poland,Comedies|Dramas|International Movies,TV-MA,2020-12-02,2020,12,Anna Wieczur-Bluszcz,Katarzyna Sawczuk,"Fierce | A gifted young singer becomes an instant sensation on a popular talent show. But her real goal is earning the love of her father, a member of the jury. | Comedies|Dramas|International Movies | Anna Wieczur-Bluszcz | Katarzyna Sawczuk | Poland"
Hazel Brugger: Tropical,s1608,Movie,2020,Germany,Stand-Up Comedy,TV-MA,2020-12-02,2020,12,,Hazel Brugger,"Hazel Brugger: Tropical | In this stand-up special, comedian Hazel Brugger offers her breezy takes on unruly geese, chatty gynecologists, German bank loans and more. | Stand-Up Comedy | Hazel Brugger | Germany"
3 Days to Kill,s1609,Movie,2014,United States,Action & Adventure,PG-13,2020-12-01,2020,12,McG,Kevin Costner,3 Days to Kill | A terminally ill secret agent accepts a risky mission in exchange for an experimental drug that might save him ��� if he can survive its side effects. | Action & Adventure | McG | Kevin Costner | United States
Angela's Christmas Wish,s1610,Movie,2020,United States,Children & Family Movies,TV-Y,2020-12-01,2020,12,Damien O���Connor,Lucy O'Connell,"Angela's Christmas Wish | With her father working far away in Australia, a determined Angela makes a plan ��� and a heartfelt wish ��� to reunite her family in time for the holidays. | Children & Family Movies | Damien O���Connor | Lucy O'Connell | United States"
Angels & Demons,s1611,Movie,2009,United States,Thrillers,PG-13,2020-12-01,2020,12,Ron Howard,Tom Hanks,Angels & Demons | A Harvard symbologist races to uncover clues that will help stop an attack on the Vatican by a secret society looking to retaliate for old persecutions. | Thrillers | Ron Howard | Tom Hanks | United States
Are You The One,s1612,Tv Show,2014,United States,Reality TV,TV-14,2020-12-01,2020,12,,Ryan Devlin,"Are You The One | Determined by a dating algorithm, a group of single contestants must identify their perfect matches for a shot at love and a cash prize. | Reality TV | Ryan Devlin | United States"
Chef,s1613,Movie,2014,United States,Comedies|Independent Movies,R,2020-12-01,2020,12,Jon Favreau,Jon Favreau,"Chef | After igniting a Twitter war with a well-known culinary critic, a Los Angeles chef packs his knives, heads home to Miami and opens a food truck. | Comedies|Independent Movies | Jon Favreau | Jon Favreau | United States"
Effie Gray,s1614,Movie,2014,United Kingdom,Dramas|International Movies|Romantic Movies,PG-13,2020-12-01,2020,12,Richard Laxton,Dakota Fanning,"Effie Gray | Trapped in a loveless marriage, the young wife of Victorian-era art critic John Ruskin finds herself falling for an artist ��� and looking for a way out. | Dramas|International Movies|Romantic Movies | Richard Laxton | Dakota Fanning | United Kingdom"
Gormiti,s1615,Tv Show,2018,Spain,Kids' TV,TV-Y,2020-12-01,2020,12,,Dermot Arrigan,Gormiti | Four friends become guardians of the island Gorm and must harness powers of the elements to stop an evil lord and his army from ruling the kingdom. | Kids' TV | Dermot Arrigan | Spain
Ink Master,s1616,Tv Show,2012,United States,Reality TV,TV-14,2020-12-01,2020,12,,Dave Navarro,"Ink Master | Ten of the country's most skilled tattoo artists compete for $100,000 and the title of Ink Master in this high-stakes elimination competition. | Reality TV | Dave Navarro | United States"
Monster House,s1617,Movie,2006,United States,Children & Family Movies|Comedies,PG,2020-12-01,2020,12,Gil Kenan,Mitchel Musso,"Monster House | A trio of friends sets out to expose the terrors of a vacant neighborhood house, which appears to have a craving for people ��� and a life of its own. | Children & Family Movies|Comedies | Gil Kenan | Mitchel Musso | United States"
Natalie Palamides: Nate - A One Man Show,s1618,Movie,2020,United States,Comedies,TV-MA,2020-12-01,2020,12,Phil Burgers,Natalie Palamides,"Natalie Palamides: Nate - A One Man Show | Tough talk takes a soft turn as Nate, played by comedian Natalie Palamides, explores humor, heartbreak, sexuality and consent ��� with a live audience. | Comedies | Phil Burgers | Natalie Palamides | United States"
Octonauts,s1619,Tv Show,2015,United States,British TV Shows|Kids' TV,TV-Y,2020-12-01,2020,12,,Keith Wickham,Octonauts | A team of brave underwater explorers known as the Octonauts combs the world's oceans for aquatic creatures in desperate need of assistance. | British TV Shows|Kids' TV | Keith Wickham | United States
Oddbods,s1620,Tv Show,2017,United Kingdom,Kids' TV|TV Comedies,TV-Y,2020-12-01,2020,12,,Nadia Ramlee,"Oddbods | Seven furry, colorful friends who live in the small town of Oddsville like to play, have adventures and get into all sorts of creative mischief. | Kids' TV|TV Comedies | Nadia Ramlee | United Kingdom"
Peppermint,s1621,Movie,2018,Hong Kong,Action & Adventure,R,2020-12-01,2020,12,Pierre Morel,Jennifer Garner,"Peppermint | After her family is murdered, a mild-mannered mom remakes herself into a badass vigilante in order to exact violent justice. | Action & Adventure | Pierre Morel | Jennifer Garner | Hong Kong"
Quigley Down Under,s1622,Movie,1990,Australia,Action & Adventure,PG-13,2020-12-01,2020,12,Simon Wincer,Tom Selleck,"Quigley Down Under | After traveling to Australia for a job, a sharpshooting cowboy becomes a target himself when he refuses an immoral assignment from a corrupt landowner. | Action & Adventure | Simon Wincer | Tom Selleck | Australia"
Stargate SG-1,s1623,Tv Show,2006,United States,Classic & Cult TV|TV Action & Adventure|TV Sci-Fi & Fantasy,TV-MA,2020-12-01,2020,12,,Richard Dean Anderson,Stargate SG-1 | Stargate Command roars into action when Jack O'Neill and his crew find a Stargates map that lets them combat alien maneuvers all across the galaxy. | Classic & Cult TV|TV Action & Adventure|TV Sci-Fi & Fantasy | Richard Dean Anderson | United States
The Bachelorette,s1624,Tv Show,2010,United States,Reality TV|Romantic TV Shows,TV-14,2020-12-01,2020,12,,,The Bachelorette | Beloved ���Bachelor��� contestant Ali Fedotowsky embarks on her own search for happily ever after and navigates the thrills and spills of reality TV romance. | Reality TV|Romantic TV Shows | United States
The Da Vinci Code,s1625,Movie,2006,United States,Thrillers,PG-13,2020-12-01,2020,12,Ron Howard,Tom Hanks,"The Da Vinci Code | When the curator of the Louvre is killed, a Harvard professor and a cryptographer must untangle a web of deceit involving works of Leonardo da Vinci. | Thrillers | Ron Howard | Tom Hanks | United States"
The Guest,s1626,Tv Show,2018,South Korea,International TV Shows|TV Horror|TV Mysteries,TV-14,2020-12-01,2020,12,,Kim Dong-wook,"The Guest | Bound together by a tragic past, a psychic, a priest and a detective join forces to take down a powerful spirit that's driven by bloodthirst. | International TV Shows|TV Horror|TV Mysteries | Kim Dong-wook | South Korea"
The Happytime Murders,s1627,Movie,2018,United States,Action & Adventure|Comedies,R,2020-12-01,2020,12,Brian Henson,Melissa McCarthy,"The Happytime Murders | In an LA where puppets and humans coexist, a down-on-his-luck detective teams with his ex-partner to nab a killer targeting the cast of an old TV show. | Action & Adventure|Comedies | Brian Henson | Melissa McCarthy | United States"
The Holiday Movies That Made Us,s1628,Tv Show,2020,United States,Docuseries,TV-PG,2020-12-01,2020,12,,,"The Holiday Movies That Made Us | Unwrap the real stories behind these iconic Christmas blockbusters, thanks to insider interviews and behind-the-scenes peeks. | Docuseries | United States"
The Repair Shop,s1629,Tv Show,2018,United Kingdom,British TV Shows|Reality TV,TV-PG,2020-12-01,2020,12,,,The Repair Shop | Expert artisans restore timeworn family heirlooms with touching sentimental value while also uncovering their uniquely rich histories. | British TV Shows|Reality TV | United Kingdom
U-Turn,s1630,Movie,2020,Philippines,Horror Movies|International Movies,TV-MA,2020-12-01,2020,12,Derick Cabrido,Kim Chiu,U-Turn | A young reporter's investigation into a string of grisly suicides takes a dangerous detour when she follows the clues to a cursed stretch of road. | Horror Movies|International Movies | Derick Cabrido | Kim Chiu | Philippines
Finding Agnes,s1631,Movie,2020,Philippines,Dramas|International Movies,TV-PG,2020-11-30,2020,11,Marla M. Ancheta,Jelson Bay,"Finding Agnes | On an emotional journey in Morocco, an entrepreneur pieces together the turbulent life of his estranged mother and meets her adopted daughter. | Dramas|International Movies | Marla M. Ancheta | Jelson Bay | Philippines"
Rust Creek,s1632,Movie,2018,United States,Thrillers,R,2020-11-30,2020,11,Jen McGowan,Hermione Corfield,Rust Creek | A wrong turn in the woods becomes a fight for her life when a career-seeking college student runs into two outlaw brothers looking to cook up trouble. | Thrillers | Jen McGowan | Hermione Corfield | United States
Spookley and the Christmas Kittens,s1633,Movie,2019,United States,Children & Family Movies,TV-Y,2020-11-30,2020,11,Bernie Denk,Vlasta Vrana,"Spookley and the Christmas Kittens | When a green cat and three stray kittens wind up at Holiday Hill Farm, Spookley the Square Pumpkin and his friends help the felines find their way home. | Children & Family Movies | Bernie Denk | Vlasta Vrana | United States"
The 2nd,s1634,Movie,2020,United States,Action & Adventure,TV-MA,2020-11-30,2020,11,Brian Skiba,Ryan Phillippe,"The 2nd | A Secret Service agent is drawn into a terrorist plot when his son's classmate, the daughter of a Supreme Court Justice, is targeted for kidnapping. | Action & Adventure | Brian Skiba | Ryan Phillippe | United States"
The Uncanny Counter,s1635,Tv Show,2020,South Korea,International TV Shows|TV Action & Adventure|TV Dramas,TV-14,2020-11-29,2020,11,,Cho Byeong-kyu,"The Uncanny Counter | Noodle shop employees by day and demon hunters by night, the Counters use special abilities to chase down malevolent spirits that prey on humans. | International TV Shows|TV Action & Adventure|TV Dramas | Cho Byeong-kyu | South Korea"
A Go! Go! Cory Carson Christmas,s1636,Movie,2020,United States,Children & Family Movies,TV-Y,2020-11-27,2020,11,Stanley Moore,Alan C. Lim,"A Go! Go! Cory Carson Christmas | When a familiar-looking stranger crashes in without a memory, Cory helps him remember the magic of Christmas to save the holiday for everyone. | Children & Family Movies | Stanley Moore | Alan C. Lim | United States"
Dance Dreams: Hot Chocolate Nutcracker,s1637,Movie,2020,United States,Children & Family Movies|Documentaries,TV-PG,2020-11-27,2020,11,Oliver Bokelberg,Debbie Allen,"Dance Dreams: Hot Chocolate Nutcracker | This documentary spotlights Debbie Allen's career and follows her group of dance students as they prepare for Allen's annual ""Hot Chocolate Nutcracker."" | Children & Family Movies|Documentaries | Oliver Bokelberg | Debbie Allen | United States"
Don���t Listen,s1638,Movie,2020,Spain,Horror Movies|International Movies,TV-MA,2020-11-27,2020,11,��ngel G��mez Hern��ndez,Rodolfo Sancho,"Don���t Listen | After a tragic turn of events at the new home he's fixing up, Daniel hears a ghostly plea for help, spurring him to seek out a famous paranormal expert. | Horror Movies|International Movies | ��ngel G��mez Hern��ndez | Rodolfo Sancho | Spain"
Fabulous Lives of Bollywood Wives,s1639,Tv Show,2020,India,International TV Shows|Reality TV,TV-MA,2020-11-27,2020,11,,,"Fabulous Lives of Bollywood Wives | Cameras follow the banter and bonding between four fun-loving women from Bollywood���s inner circle as they juggle professions, family and friendship. | International TV Shows|Reality TV | India"
Heartbreak High,s1640,Tv Show,1999,Australia,International TV Shows|TV Dramas|Teen TV Shows,TV-14,2020-11-27,2020,11,,Callan Mulvey,Heartbreak High | A crash course on the turbulence of being a teen is always on the schedule for the students at Hartley High School in this 1990s series set in Sydney. | International TV Shows|TV Dramas|Teen TV Shows | Callan Mulvey | Australia
Over Christmas,s1641,Tv Show,2020,Germany,International TV Shows|Romantic TV Shows|TV Comedies,TV-MA,2020-11-27,2020,11,,Luke Mockridge,Over Christmas | Down-and-out musician Bastian battles the blues as he returns home for Christmas and encounters a series of not-so-cheery surprises. | International TV Shows|Romantic TV Shows|TV Comedies | Luke Mockridge | Germany
Sugar Rush Christmas,s1642,Tv Show,2020,United States,Reality TV,TV-14,2020-11-27,2020,11,,Hunter March,"Sugar Rush Christmas | It's everything you love about ""Sugar Rush"" ��� with a holly jolly holiday twist ��� in this Christmas-themed spin on competitive baking. | Reality TV | Hunter March | United States"
The Beast,s1643,Movie,2020,Italy,Action & Adventure|International Movies,TV-MA,2020-11-27,2020,11,Ludovico Di Martino,Fabrizio Gifuni,"The Beast | To rescue his daughter, an unstable Special Forces veteran unleashes his inner beast as he pursues her kidnappers ��� and soon becomes a suspect himself. | Action & Adventure|International Movies | Ludovico Di Martino | Fabrizio Gifuni | Italy"
The Call,s1644,Movie,2020,South Korea,International Movies|Thrillers,TV-MA,2020-11-27,2020,11,Lee Chung-hyun,Park Shin-hye,"The Call | Connected by phone in the same home but 20 years apart, a serial killer puts another woman���s past ��� and life ��� on the line to change her own fate. | International Movies|Thrillers | Lee Chung-hyun | Park Shin-hye | South Korea"
Fantastica,s1645,Movie,2018,Philippines,Comedies|International Movies|LGBTQ Movies,TV-PG,2020-11-26,2020,11,Barry Gonzalez,Vice Ganda,Fantastica | The owner of a struggling carnival starts putting on small-time shows to save his wonderland as an old friend asks for help with a magical mission. | Comedies|International Movies|LGBTQ Movies | Barry Gonzalez | Vice Ganda | Philippines
Larry the Cable Guy: Remain Seated,s1646,Movie,2020,United States,Stand-Up Comedy,TV-14,2020-11-26,2020,11,Brian Volk-Weiss,Larry the Cable Guy,"Larry the Cable Guy: Remain Seated | With his signature call to ""Git-R-Done,"" Larry muses on swampy weather, late-night shopping at Walmart and other raunchy tales of life in rural America. | Stand-Up Comedy | Brian Volk-Weiss | Larry the Cable Guy | United States"
Mosul,s1647,Movie,2020,United States,Action & Adventure|Dramas|International Movies,TV-MA,2020-11-26,2020,11,Matthew Michael Carnahan,Suhail Dabbach,"Mosul | After his life is saved by a rogue Iraqi squadron, a young police officer joins them in their fight against ISIS in a decimated Mosul. | Action & Adventure|Dramas|International Movies | Matthew Michael Carnahan | Suhail Dabbach | United States"
Unexpectedly Yours,s1648,Movie,2017,Philippines,Comedies|International Movies|Romantic Movies,TV-14,2020-11-26,2020,11,Cathy Garcia-Molina,Sharon Cuneta,"Unexpectedly Yours | A pair of former batchmates cross paths 30 years later when they wind up as new neighbors, and their reconnection soon blossoms into something more. | Comedies|International Movies|Romantic Movies | Cathy Garcia-Molina | Sharon Cuneta | Philippines"
Ghosts of War,s1649,Movie,2020,United Kingdom,Horror Movies,R,2020-11-25,2020,11,Eric Bress,Brenton Thwaites,"Ghosts of War | Five, battle-worn Allied soldiers guarding a chateau previously occupied by Nazis start experiencing unexplained and terrifying supernatural horrors. | Horror Movies | Eric Bress | Brenton Thwaites | United Kingdom"
Great Pretender,s1650,Tv Show,2020,Japan,Anime Series|Crime TV Shows|International TV Shows,TV-MA,2020-11-25,2020,11,,Chiaki Kobayashi,"Great Pretender | Supposedly Japan's greatest swindler, Makoto Edamura gets more than he bargained for when he tries to con Laurent Thierry, a real world-class crook. | Anime Series|Crime TV Shows|International TV Shows | Chiaki Kobayashi | Japan"
Shawn Mendes: Live in Concert,s1651,Movie,2020,United Kingdom,Music & Musicals,TV-PG,2020-11-25,2020,11,Paul Dugdale,Shawn Mendes,"Shawn Mendes: Live in Concert | In his hometown of Toronto, Shawn Mendes pours his heart out on stage with a live performance in a stadium packed with adoring fans. | Music & Musicals | Paul Dugdale | Shawn Mendes | United Kingdom"
The Christmas Chronicles: Part Two,s1652,Movie,2020,Canada,Children & Family Movies|Comedies,PG,2020-11-25,2020,11,Chris Columbus,Kurt Russell,"The Christmas Chronicles: Part Two | Unhappy over her mom���s new relationship, a now-teenage Kate runs away and lands at the North Pole, where a naughty elf is plotting to cancel Christmas. | Children & Family Movies|Comedies | Chris Columbus | Kurt Russell | Canada"
Andhaghaaram,s1653,Movie,2020,Unknown,Horror Movies|International Movies|Thrillers,TV-14,2020-11-24,2020,11,V Vignarajan,Vinoth Kishan,"Andhaghaaram | As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences. | Horror Movies|International Movies|Thrillers | V Vignarajan | Vinoth Kishan | Unknown"
Andhakaaram,s1654,Movie,2020,India,Horror Movies|International Movies|Thrillers,TV-14,2020-11-24,2020,11,V Vignarajan,Vinoth Kishan,"Andhakaaram | As a blind librarian, dispirited cricketer and desolate psychiatrist each seek retribution and release, their lives overlap under eerie influences. | Horror Movies|International Movies|Thrillers | V Vignarajan | Vinoth Kishan | India"
Before 30,s1655,Tv Show,2015,Nigeria,International TV Shows|Romantic TV Shows|TV Comedies,TV-MA,2020-11-24,2020,11,BB Sasore,Damilola Adegbite,"Before 30 | Four female friends in the fast-paced city of Lagos, Nigeria endure public and private pressures to walk down the aisle by the age of 30. | International TV Shows|Romantic TV Shows|TV Comedies | BB Sasore | Damilola Adegbite | Nigeria"
Dragons: Rescue Riders: Huttsgalor Holiday,s1656,Movie,2020,United States,Children & Family Movies|Comedies,TV-Y,2020-11-24,2020,11,Greg Rankin,Noah Kaye Bentley,Dragons: Rescue Riders: Huttsgalor Holiday | Snowfall marks the start of Odinyule ��� the Viking holiday of giving! But crazy weather might cancel the tradition unless the Rescue Riders can swoop in. | Children & Family Movies|Comedies | Greg Rankin | Noah Kaye Bentley | United States
Hillbilly Elegy,s1657,Movie,2020,United States,Dramas,R,2020-11-24,2020,11,Ron Howard,Amy Adams,"Hillbilly Elegy | An urgent phone call pulls a Yale Law student back to his Ohio hometown, where he reflects on three generations of family history and his own future. | Dramas | Ron Howard | Amy Adams | United States"
Notes for My Son,s1658,Movie,2020,Argentina,Dramas|International Movies,TV-MA,2020-11-24,2020,11,Carlos Sor��n,Valeria Bertuccelli,"Notes for My Son | Battling terminal cancer, a woman writes a one of a kind notebook about life, death and love for her son to remember her by. Based on a true story. | Dramas|International Movies | Carlos Sor��n | Valeria Bertuccelli | Argentina"
Valentino,s1659,Tv Show,2020,Egypt,International TV Shows|TV Comedies|TV Dramas,TV-14,2020-11-24,2020,11,,Adel Imam,"Valentino | As the owner of a group of international schools, a man gets caught in a series of scams as his wife, a principal, rules his life with an iron fist. | International TV Shows|TV Comedies|TV Dramas | Adel Imam | Egypt"
Hard Kill,s1660,Movie,2020,United States,Action & Adventure,R,2020-11-23,2020,11,Matt Eskandari,Jesse Metcalfe,"Hard Kill | When a billionaire hires a team of mercenaries for protection, they soon realize world-changing technology and his daughter���s life are also at stake. | Action & Adventure | Matt Eskandari | Jesse Metcalfe | United States"
Shawn Mendes: In Wonder,s1661,Movie,2020,United States,Documentaries|Music & Musicals,TV-MA,2020-11-23,2020,11,Grant Singer,Shawn Mendes,"Shawn Mendes: In Wonder | Over the course of a world tour, this unguarded documentary follows Shawn Mendes as he opens up about his stardom, relationships and musical future. | Documentaries|Music & Musicals | Grant Singer | Shawn Mendes | United States"
